=== Starting Gemma 4 RL Training Job ===
Node: hpc8l4-01
Date: Thu Jun 18 01:28:31 PM IDT 2026
Loading dataset...
Loaded and formatted 388 tasks.
Train dataset size: 310
Val dataset size: 78
Loading model and processor...
Initializing GRPOTrainer...
Starting RL/GRPO training...
{'loss': '0.5448', 'grad_norm': '1.046', 'learning_rate': '1e-05', 'num_tokens': '3447', 'completions/mean_length': '71.88', 'completions/min_length': '35', 'completions/max_length': '256', 'completions/clipped_ratio': '0.125', 'completions/mean_terminated_length': '45.57', 'completions/min_terminated_length': '35', 'completions/max_terminated_length': '75', 'rewards/correctness_reward/mean': '0', 'rewards/correctness_reward/std': '0', 'rewards/format_reward/mean': '0.0875', 'rewards/format_reward/std': '0.02315', 'reward': '0.0875', 'reward_std': '0.02315', 'frac_reward_zero_std': '0', 'entropy': '0.5395', 'clip_ratio/low_mean': '0', 'clip_ratio/low_min': '0', 'clip_ratio/high_mean': '0', 'clip_ratio/high_max': '0', 'clip_ratio/region_mean': '0', 'step_time': '30.44', 'epoch': '0.006452'}
{'loss': '-0.1275', 'grad_norm': '0.3505', 'learning_rate': '9.978e-06', 'num_tokens': '7695', 'completions/mean_length': '153', 'completions/min_length': '74', 'completions/max_length': '256', 'completions/clipped_ratio': '0.375', 'completions/mean_terminated_length': '91.2', 'completions/min_terminated_length': '74', 'completions/max_terminated_length': '126', 'rewards/correctness_reward/mean': '0.125', 'rewards/correctness_reward/std': '0.3536', 'rewards/format_reward/mean': '0.08125', 'rewards/format_reward/std': '0.02588', 'reward': '0.2062', 'reward_std': '0.3417', 'frac_reward_zero_std': '0', 'entropy': '0.8093', 'clip_ratio/low_mean': '0', 'clip_ratio/low_min': '0', 'clip_ratio/high_mean': '0', 'clip_ratio/high_max': '0', 'clip_ratio/region_mean': '0', 'step_time': '27.82', 'epoch': '0.0129'}
{'loss': '0.2667', 'grad_norm': '0.2769', 'learning_rate': '9.957e-06', 'num_tokens': '1.143e+04', 'completions/mean_length': '115.8', 'completions/min_length': '40', 'completions/max_length': '256', 'completions/clipped_ratio': '0.25', 'completions/mean_terminated_length': '69', 'completions/min_terminated_length': '40', 'completions/max_terminated_length': '100', 'rewards/correctness_reward/mean': '0', 'rewards/correctness_reward/std': '0', 'rewards/format_reward/mean': '0.0875', 'rewards/format_reward/std': '0.03536', 'reward': '0.0875', 'reward_std': '0.03536', 'frac_reward_zero_std': '0.5', 'entropy': '0.4809', 'clip_ratio/low_mean': '0', 'clip_ratio/low_min': '0', 'clip_ratio/high_mean': '0', 'clip_ratio/high_max': '0', 'clip_ratio/region_mean': '0', 'step_time': '26.93', 'epoch': '0.01935'}
{'loss': '-0.09927', 'grad_norm': '0.3574', 'learning_rate': '9.935e-06', 'num_tokens': '1.507e+04', 'completions/mean_length': '92.38', 'completions/min_length': '34', 'completions/max_length': '256', 'completions/clipped_ratio': '0.125', 'completions/mean_terminated_length': '69', 'completions/min_terminated_length': '34', 'completions/max_terminated_length': '115', 'rewards/correctness_reward/mean': '0.5', 'rewards/correctness_reward/std': '0.5345', 'rewards/format_reward/mean': '0.0875', 'rewards/format_reward/std': '0.02315', 'reward': '0.5875', 'reward_std': '0.5482', 'frac_reward_zero_std': '0.5', 'entropy': '0.659', 'clip_ratio/low_mean': '0', 'clip_ratio/low_min': '0', 'clip_ratio/high_mean': '0', 'clip_ratio/high_max': '0', 'clip_ratio/region_mean': '0', 'step_time': '27.36', 'epoch': '0.02581'}
{'loss': '0.3446', 'grad_norm': '0.3199', 'learning_rate': '9.914e-06', 'num_tokens': '1.891e+04', 'completions/mean_length': '93.75', 'completions/min_length': '52', 'completions/max_length': '256', 'completions/clipped_ratio': '0.125', 'completions/mean_terminated_length': '70.57', 'completions/min_terminated_length': '52', 'completions/max_terminated_length': '119', 'rewards/correctness_reward/mean': '0', 'rewards/correctness_reward/std': '0', 'rewards/format_reward/mean': '0.0875', 'rewards/format_reward/std': '0.03536', 'reward': '0.0875', 'reward_std': '0.03536', 'frac_reward_zero_std': '0.5', 'entropy': '0.545', 'clip_ratio/low_mean': '0', 'clip_ratio/low_min': '0', 'clip_ratio/high_mean': '0', 'clip_ratio/high_max': '0', 'clip_ratio/region_mean': '0', 'step_time': '28.41', 'epoch': '0.03226'}
{'loss': '0.126', 'grad_norm': '0.2791', 'learning_rate': '9.892e-06', 'num_tokens': '2.384e+04', 'completions/mean_length': '216.9', 'completions/min_length': '89', 'completions/max_length': '256', 'completions/clipped_ratio': '0.75', 'completions/mean_terminated_length': '99.5', 'completions/min_terminated_length': '89', 'completions/max_terminated_length': '110', 'rewards/correctness_reward/mean': '0', 'rewards/correctness_reward/std': '0', 'rewards/format_reward/mean': '0.0125', 'rewards/format_reward/std': '0.03536', 'reward': '0.0125', 'reward_std': '0.03536', 'frac_reward_zero_std': '0.5', 'entropy': '0.7345', 'clip_ratio/low_mean': '0', 'clip_ratio/low_min': '0', 'clip_ratio/high_mean': '0', 'clip_ratio/high_max': '0', 'clip_ratio/region_mean': '0', 'step_time': '28.8', 'epoch': '0.03871'}
{'loss': '0.1397', 'grad_norm': '0.1508', 'learning_rate': '9.871e-06', 'num_tokens': '2.8e+04', 'completions/mean_length': '142.9', 'completions/min_length': '64', 'completions/max_length': '256', 'completions/clipped_ratio': '0.25', 'completions/mean_terminated_length': '105.2', 'completions/min_terminated_length': '64', 'completions/max_terminated_length': '184', 'rewards/correctness_reward/mean': '0', 'rewards/correctness_reward/std': '0', 'rewards/format_reward/mean': '0.08125', 'rewards/format_reward/std': '0.02588', 'reward': '0.08125', 'reward_std': '0.02588', 'frac_reward_zero_std': '0', 'entropy': '0.8027', 'clip_ratio/low_mean': '0', 'clip_ratio/low_min': '0', 'clip_ratio/high_mean': '0', 'clip_ratio/high_max': '0', 'clip_ratio/region_mean': '0', 'step_time': '28.23', 'epoch': '0.04516'}
{'loss': '0.1912', 'grad_norm': '0.3025', 'learning_rate': '9.849e-06', 'num_tokens': '3.288e+04', 'completions/mean_length': '210.9', 'completions/min_length': '74', 'completions/max_length': '256', 'completions/clipped_ratio': '0.5', 'completions/mean_terminated_length': '165.8', 'completions/min_terminated_length': '74', 'completions/max_terminated_length': '239', 'rewards/correctness_reward/mean': '0.125', 'rewards/correctness_reward/std': '0.3536', 'rewards/format_reward/mean': '0.08125', 'rewards/format_reward/std': '0.0372', 'reward': '0.2063', 'reward_std': '0.363', 'frac_reward_zero_std': '0', 'entropy': '0.815', 'clip_ratio/low_mean': '0', 'clip_ratio/low_min': '0', 'clip_ratio/high_mean': '0', 'clip_ratio/high_max': '0', 'clip_ratio/region_mean': '0', 'step_time': '28.93', 'epoch': '0.05161'}
{'loss': '0.1033', 'grad_norm': '0.1354', 'learning_rate': '9.828e-06', 'num_tokens': '3.762e+04', 'completions/mean_length': '190.5', 'completions/min_length': '49', 'completions/max_length': '256', 'completions/clipped_ratio': '0.625', 'completions/mean_terminated_length': '81.33', 'completions/min_terminated_length': '49', 'completions/max_terminated_length': '103', 'rewards/correctness_reward/mean': '0.125', 'rewards/correctness_reward/std': '0.3536', 'rewards/format_reward/mean': '0.05625', 'rewards/format_reward/std': '0.04173', 'reward': '0.1813', 'reward_std': '0.3732', 'frac_reward_zero_std': '0', 'entropy': '0.9366', 'clip_ratio/low_mean': '0', 'clip_ratio/low_min': '0', 'clip_ratio/high_mean': '0', 'clip_ratio/high_max': '0', 'clip_ratio/region_mean': '0', 'step_time': '28.99', 'epoch': '0.05806'}
{'loss': '0.04537', 'grad_norm': '0.5873', 'learning_rate': '9.806e-06', 'num_tokens': '4.095e+04', 'completions/mean_length': '53.62', 'completions/min_length': '32', 'completions/max_length': '82', 'completions/clipped_ratio': '0', 'completions/mean_terminated_length': '53.62', 'completions/min_terminated_length': '32', 'completions/max_terminated_length': '82', 'rewards/correctness_reward/mean': '0.125', 'rewards/correctness_reward/std': '0.3536', 'rewards/format_reward/mean': '0.0875', 'rewards/format_reward/std': '0.02315', 'reward': '0.2125', 'reward_std': '0.3389', 'frac_reward_zero_std': '0', 'entropy': '0.5546', 'clip_ratio/low_mean': '0', 'clip_ratio/low_min': '0', 'clip_ratio/high_mean': '0', 'clip_ratio/high_max': '0', 'clip_ratio/region_mean': '0', 'step_time': '13.3', 'epoch': '0.06452'}
{'loss': '0.1336', 'grad_norm': '0.4604', 'learning_rate': '9.785e-06', 'num_tokens': '4.454e+04', 'completions/mean_length': '78.5', 'completions/min_length': '30', 'completions/max_length': '256', 'completions/clipped_ratio': '0.125', 'completions/mean_terminated_length': '53.14', 'completions/min_terminated_length': '30', 'completions/max_terminated_length': '93', 'rewards/correctness_reward/mean': '0.25', 'rewards/correctness_reward/std': '0.4629', 'rewards/format_reward/mean': '0.08125', 'rewards/format_reward/std': '0.02588', 'reward': '0.3313', 'reward_std': '0.4598', 'frac_reward_zero_std': '0', 'entropy': '0.6593', 'clip_ratio/low_mean': '0', 'clip_ratio/low_min': '0', 'clip_ratio/high_mean': '0', 'clip_ratio/high_max': '0', 'clip_ratio/region_mean': '0', 'step_time': '27.83', 'epoch': '0.07097'}
